Atributo pavadinimas,Kiekis(Eiluciu sk.),"Trukstamos reiksmes, %",Kardinalumas,Moda,Modos daznumas,"Moda, %",2-oji Moda,2-osios Modos daznumas,"2-oji Moda, %"
Name,18207,0.0%,17194,['J. Rodríguez'],11,0.0604%,['Paulinho'],8,0.0439%
Nationality,18207,0.0%,164,['England'],1662,9.1284%,['Germany'],1198,6.5799%
Club,18207,1.3237%,651,"['Eintracht Frankfurt', 'Southampton', 'Rayo Vallecano', 'Arsenal', 'Cardiff City', 'Real Madrid', 'Frosinone', 'Atlético Madrid', 'Liverpool', 'CD Leganés', 'AS Monaco', 'Manchester City', 'Wolverhampton Wanderers', 'Manchester United', 'Empoli', 'Everton', 'Borussia Dortmund', 'Newcastle United', 'TSG 1899 Hoffenheim', 'Burnley', 'Tottenham Hotspur', 'RC Celta', 'FC Barcelona', 'Fortuna Düsseldorf', 'Valencia CF', 'Chelsea']",33,4.7125%,"['Villarreal CF', 'SV Werder Bremen', 'Leicester City', 'Fulham', 'FC Nantes', 'Lazio', 'Huddersfield Town', 'Hertha BSC', 'Levante UD', 'West Ham United', 'Brighton & Hove Albion', 'Crystal Palace', 'Bournemouth', '1. FSV Mainz 05', 'VfL Wolfsburg']",32,2.6363%
Value,18207,0.0%,217,['€1.1M'],431,2.3672%,['€375K'],372,2.0432%
Wage,18207,0.0%,144,['€1K'],4900,26.9127%,['€2K'],2827,15.527%
Preferred Foot,18207,0.2636%,2,['Right'],13948,76.6079%,['Left'],4211,23.1285%
Position,18207,0.3295%,27,['ST'],2152,11.8196%,['GK'],2025,11.1221%
Height,18207,0.2636%,21,"[""6'0""]",2881,15.8236%,"[""5'10""]",2479,13.6156%
Weight,18207,0.2636%,57,['165lbs'],1483,8.1452%,['154lbs'],1439,7.9036%
